store_number,name,address,postcode,city,state,phone,latitude,longitude,has_pharmacy
382,SUNWAY VELOCITY,"B-12, BASEMENT ONE,,SUNWAY VELOCITY MALL,,LINGKARAN SV,SUNWAY VELOCITY,",55100,Wil. Persekutuan,Kuala Lumpur,03-9201 6476,3.12747,101.725,true
383,SETAPAK CENTRAL KL FESTIVAL,"G-02A,GROUND FLOOR,SETAPAK CENTRAL,,67, JALAN TAMAN IBU KOTA,,TAMAN DANAU KOTA,SETAPAK",53300,Wil. Persekutuan,Kuala Lumpur,03-4142 0075,3.2037,101.721,false
384,AEON BUKIT INDAH JOHOR BAHRU,"F50, F51 7 F52, AEON BUKIT INDAH,JALAN INDAH 15/2,TAMAN BUKIT INDAH",79100,Johor,Johor,07-2325540,1.48103,103.656,false
385,KLUANG MALL KLUANG,"LOT LG-13A & LG-15, KLUANG MALL,JALAN RAMBUTAN,BANDAR KLUANG",86000,Johor,Johor,07-7763539,2.03987,103.321,false
386,EMPIRE SHOPPING GALLERY,"F30 & F31, FIRST FLOOR,EMPIRE SHOPPING GALLERY,,JALAN SS16/1,",47500,Selangor,Selangor,03-5621 0237,3.08195,101.583,false
387,AEON BIG WANGSA MAJU,"LOT NO G-25&43A, GROUND FLOOR,,AEON BIG WANGSA MAJU,,6 JLN 8/27A, SECTION 5,WANGSA MAJU",53300,Wil. Persekutuan,Kuala Lumpur,03-41420403,3.19677,101.743,false
388,EVOLVE MALL CONCEPT MALL,"EV-G-19 & EV-G-20, GROUND FLOOR,,EVOLVE CONCEPT MALL@PACIFIC PLACE,JLN PJU 1A/4, ARA DAMANSARA",47301,Selangor,Selangor,03-78318483,3.11033,101.587,false
389,JB CITY SQUARE LEVEL 2,"M2-02 & M2-03,LEVEL 2,,JOHOR BAHRU CITY SQUARE,NO 106-108,,JALAN WONG AH FOOK,",-,Johor,Johor,072200584,1.46141,103.764,true
390,TRIANG,"NO. 3&5, GROUND FLOOR,,JALAN SENTRAL TRIANG 6,,SENTRAL TRIANG,",28300,Pahang,Pahang,09-2507 197,3.25974,102.436,false
391,EG MALL KOTA MARUDU,"LOT 11 (B) & 12, GROUND FLOOR,BLOCK A, EG MALL KOTA MARUDU,JALAN GOSHEN",89107,Sabah,Sabah,088-663278,6.49258,116.762,false
393,Guardian Sura Gate Buss Ctr Dungun Terengganu,"No. 7 Ground Floor,,HS (D) 1374, PT 18074,",23000,Terengganu,Trengganu,09-844 2473,4.75636,103.419,false
394,AEON MALL SHAH ALAM,"LOT F-01,FIRST FLOOR, AEON MALL,JALAN AKUATIK 13/64,,D'KAYANGAN, SEKSYEN 13,",40100,Selangor,Selangor,0355230398,3.07633,101.547,true
395,Guardian First World Plaza,"Lot No T2A-A09A of Level 2,,Sky Plaza,Genting Highland",69000,Pahang,Pahang,03-6101 1494,3.42496,101.794,false
397,Guardian Melawati,"Lot LG-04, Lower Ground,Melawati Mall, 355 Jalan Bandar Melawati,Pusat Bandar Melawati",53100,Wil. Persekutuan,Kuala Lumpur,03-4161 1384,3.20932,101.749,false
398,Guardian Paradigm Mall JB,"GF-16 & 17,Paradigm Mall Johor Bahru,Jalan Skudai,",81200,Johor,Johor,07-232 6307,1.51506,103.686,true
399,JB CITY SQUARE LEVEL 4,"LOT NO. J4-09, LEVEL 4,,JOHOR BAHRU CITY SQUARE,,106 - 108 JALAN WONG AH FOOK,",80000,Johor,Johor,07 - 2200 271,1.46141,103.764,false
400,SS15 COURTYARD SUBANG JAYA,"LOT LG-01B, LOWER GROUND FLOOR,,SS15 COURTYARD. JALAN SS15/4G,",47500,Selangor,Selangor,03-5611 7488,3.07781,101.586,false
402,JALAN KUALA KANGSAR 2,"NO 4 & 6, JALAN KUALA KANGSAR",33000,Perak,Perak,057700012,4.77142,100.942,true
404,STARLING MALL,"LOT B-005-006, BASEMENT LEVEL 1,,THE STARLING MALL,,JALAN SS21/60, DAMANSARA UTAMA,",47400,Selangor,Selangor,0377334729,3.13491,101.623,true
406,PAVILION SHOPPING MALL,"LOT. NO. 1.26.00, LEVEL 1,,PAVILION, NO. 168,,JALAN BUKIT BINTANG,",55100,Wil. Persekutuan,Kuala Lumpur,03-2113 0031,3.14953,101.713,true
407,Guardian CityONE Megamall Kuching,"Unit Nos MG16, MG17 & MG18,Ground Floor, Mall 1, CityONE Megamall,No. 1, Jalan Song",93350,Sarawak,Sarawak,082-532 609,1.52034,110.355,false
408,Guardian Kuantan City Mall,"L 1-05, Level 1, Jalan Putra Square 6/1,Putra Square, Kuantan City Mall,Kuantan",25300,Pahang,Pahang,09-5316 693,3.81742,103.328,false
409,Guardian KL Eco City,"Guardian KL Eco City,KL Eco City Retail Centre,,Kuala Lumpur",59200,Wil. Persekutuan,Kuala Lumpur,03-2201 2413,3.11796,101.674,false
410,Guardian Austin Heights Johor Bahru,"Lot No 23, Ground Floor,,Jalan Austin Heights 3,,Taman Mount Austin,",81100,Johor,Johor,07-351 3687,1.56007,103.78,false
411,Guardian AEON Mall Kuching Central,"Lot F20 &F21, First Floor,,AEON Mall Kuching Central,",93200,Sarawak,Sarawak,082237080,1.52766,110.337,true
412,KL GATEWAY MALL,"LOT UG20, UPPER GROUND FLOOR,,KL GATEWAY MALL, NO.2, JALAN KERINCHI,GERBANG KERINCHI LESTARI,",59200,Wil. Persekutuan,Kuala Lumpur,03 7931 3480,3.11393,101.663,false
413,KSL MALL (RELOCATION),"LOT LG-23A, LOWER GROUND FLOOR,,KSL CITY, JALAN SELADANG,,TAMAN ABAD",80250,Johor,Johor,07-289 1064,1.48618,103.762,false
414,KUBANG KERIAN,"LOT NO PT 1705, TINGKAT BAWAH,,JALAN RAJA PEREMPUAN ZAINAB 2,KUBANG KERIAN",16100,Kelantan,Kelantan,09-764 1268,6.09809,102.279,false
416,Guardian AEON Mall Bandar Dato Onn,"AEON Mall Bandar Dato Onn,No 3, Jalan Dato Onn 3,Bandar Dato Onn",81100,Johor,Johor,07-3500 274,1.56392,103.735,false
417,Emart Matang Kuching,"Lot No S51 & S74,Emart Matang,Kuching",93050,Sarawak,Sarawak,082-645 008,1.57246,110.303,false
419,Guardian Fahrenheit 88,"Lot G14, Ground Floor,Fahrenheit 88 Shopping Mall,179 Jalan Bukit Bintang",55100,Wil. Persekutuan,Kuala Lumpur,03-2141 4697,3.14751,101.713,false
421,Guardian Amcorp Mall 2,"Unit No G37, G38 & G39,,Ground Floor,Amcorp Mall",46050,Selangor,Selangor,03-7954 0300,3.10502,101.647,false
422,Guardian C Mart Nibong Tebal,"Lot G-65, C Mart, Nibong Tebal,,5631, H.S. (D) 2523, Mukim 11,,Nibong Tebal",14300,Pulau Pinang,Pulau Pinang,04-5955 452,5.17874,100.482,false
423,Guardian Saradise Kuching,"LOT G16 & G17, OFF JALAN STUTONG,SARADISE KUCHING",93350,Sarawak,Sarawak,082-528 413,1.50601,110.361,false
424,Guardian TF Value Mart Seri Manjung,"LOT A15 & 16,,TF Value Mart Seri Manjung, PT,,Pusat Perniagaan Manjung Point 1,",32040,Perak,Perak,05-687 0414,4.20121,100.661,false
425,Guardian Financial Park Labuan,"Lot No A008, Ground Floor,,Financial Park Shopping Complex,",87000,Sabah,Sabah,087-410 121,5.27625,115.249,false
426,Guardian Regina Mall Port Dickson,"Lot G-8, Ground Floor,,Regina Mall, Batu 1/2 Jalan Pantai,",71000,Negeri Sembilan,Negeri Sembilan,06-646 2960,2.52406,101.802,false
427,Guardian The Spring Mall Kuching,"Lot G54B, Ground Floor,The Spring Shopping Mall,Persiaran Spring",93300,Sarawak,Sarawak,082230057,1.53585,110.358,false
430,Guardian Wetex Parade Muar,"Lot 1-23A 25, & 25A Level 1,,Wetex Parade Shopping Centre,,No 69 Jalan Ali,",84000,Johor,Johor,06-950 1031,2.04413,102.566,false
431,Guardian Star Megamall Sibu,"L1-21, Ground Floor,,Star Mega Mall, Lot 1294,,Tunku Abdul Rahman Road,",96000,Sarawak,Sarawak,084-211 165,2.30507,111.865,false
432,Guardian SB Mall Sungai Buloh,"Lot G-18A, Ground Floor,,SB Mall, Jalan Bpr 1,,Bukit Rahman Putra,",47000,Selangor,Selangor,03-6140 5812,3.20917,101.564,false
433,Guardian Wisma Sanyan Sibu,"Lot 1.15 & 1.16, First Floor,,Wisma Sanyan",96000,Sarawak,Sarawak,084-313 523,2.29063,111.825,false
434,Guardian Dpulze Shopping Centre Cyberjay,"Lot No. UG10, Upper Ground Floor,,Dpulze Shopping Centre, Lingkaran Cyber,Cyber 12,",63000,Selangor,Selangor,03-8322 6716,2.92217,101.651,false
435,Guardian Bintulu Sentral Sarawak,"Lot 175 & 176, Ground Floor,,Bintulu Sentral,,Jalan Kidurong,",97000,Sarawak,Sarawak,086-310 171,3.20306,113.058,false
436,Guardian Jalan Bunga Raya Melaka,"Lot No. 189-G-02,,Jalan Persisiran Bunga Raya,",75100,Melaka,Melaka,06-281 0562,2.20117,102.251,false
437,Guardian Kuala Nerang Kedah,"Lot No. 21 & 22,,Jalan Semeliang, Pekan Baru,,Kuala Nerang",6300,Kedah,Kedah,04-7860 219,6.25811,100.609,false
438,Guardian Seremban Gateway Negeri Sembila,"Lot No. 4, Ground Floor,,Seremban Gateway,",70200,Negeri Sembilan,Negeri Sembilan,06-760 6592,2.71715,101.92,true
439,Guardian Cameron Fair Cameron Highlands,"No. C-G-073, C-G-073A, C-G-075,,Level G, Cameron Fair Tanah Rata,,Tanah Rata, Cameron Highlands",39000,Pahang,Pahang,05-4851 371,4.4694,101.376,false
442,"THE SPRING, BINTULU","LOT NO. F45 & F46, FIRST FLOOR, THE SPRING SHOPPING MALL, BINTULU, SARAWAK, MALAYSIA",97000,Sarawak,Sarawak,086344253,3.181260,113.034295,false
443,GUARDIAN AEON MALL NILAI,"LOT G25, GROUND FLOOR, AEON MALL NILAI, NEGERI SEMBILAN",71800,Negeri Sembilan,Negeri Sembilan,067953491,2.817994,101.789727,false
444,KLIA 2 (2ND STORE),"LOT NO. L3-41, L3-42, L3-43, L3-45 & L3-46, LEVEL 3, GATEWAY@KLIA2, 64000, SELANGOR",64000,Selangor,Selangor,,2.745177,101.685056,false
446,"JALAN MERDEKA, LABUAN","LOT NO. U0098, GROUND FLOOR, BA, JALAN MERDEKA, 87000 LABUAN, MALAYSIA",87000,Sabah,W.P. Labuan,087504821,5.277820,115.241892,false
447,"CENTRAL I-CITY, SHAH ALAM","UNIT LG-48, LG-49 AND LG-52, LOWER GROUND FLOOR, CENTRAL I-CITY, 40000 SHAH ALAM, SELANGOR",40000,Selangor,Selangor,0103072689,3.062468,101.481772,true
448,ITCC PENAMPANG,"LOT NO. G-123, GROUND FLOOR, INTERNATIONAL TECHNOLOGY & COMMERCIAL CENTRE PENAMPANG, SHOPPING MALL, 89500 PENAMPANG, SABAH, MALAYSIA.",89500,Sabah,Sabah,088745082,5.910366,116.091296,false
449,"METRO POINT COMPLEX, KAJANG"," LOT G21 & G28, GROUND FLOOR, METRO POINT COMPLEX, JALAN JELOK 8, 43000 KAJANG, SELANGOR",43000,Selangor,Selangor,0387407646,2.991862,101.793750,false
451,BERJAYA TIMES SQUARE (1ST FLOOR),"Lot No.01-14&0-15,,1st Floor,Berjaya Times Square,No.1,Jalan Imbi, KL",55100,Wil. Persekutuan,Kuala Lumpur,,3.142344,101.710672,false
452,"PUSAT PERNIAGAAN BALDWIN, TAPAH","LOT NO. 117, GROUND FLOOR, JALAN BALDWIN 3, PUSAT PERNIAGAAN BALDWIN, 35000 TAPAH, MALAYSIA.",35000,Perak,Perak,054010304,4.196967,101.262994,false
453,"LINTAS PLAZA, KK","LOT 17, GROUND FLOOR, JALAN LINTAS, PLAZA LINTAS, 88300 KOTA KINABALU, SABAH, MALAYSIA.",88300,Sabah,Sabah,088201371,5.945544,116.089545,false
454,"AMPANG BUSINESS CENTRE, ALOR SETAR","LOT 10A, GROUND FLOOR, PT 111, KOMPLEKS PERNIAGAAN AMPANG, LEBUHRAYA SULTANAH BAHIYAH, 05050 ALOR SETAR, KEDAH, MALAYSIA.",5050,Kedah,Kedah,,6.112454,100.350513,false
455,Guardian KLIA Level 5 Main,"LOT NO. MTB-5-L13, LEVEL 5, MAIN TERMINAL BUILDING, KUALA LUMPUR INTERNALTIONAL AIRPORT, 64000 KLIA, SELANGOR",64000,Selangor,Selangor,0387765833,2.752755,101.703907,true
456,AEON BIG BUKIT RIMAU,"LOT F1.30A, F1.31A, F1.32-35, GROUND FLOOR, AEON BIG BUKIT RIMAU, BUKIT RIMAU, 40460 SHAH ALAM, SELANGOR",40460,Selangor,Selangor,0351314202,2.999555,101.528474,false
457,"AEROVILLE MALL, KUCHING","LOT 1A3 – LOT 1 & 2 GROUND FLOOR, AEROVILLE SHOPPING MALL, 93350 KUCHING, SARAWAK, MALAYSIA.",93250,Sarawak,Sarawak,082460942,1.496539,110.371362,false
458,R&F MALL JB,"LOT 1-024 & 1-025, FIRST FLOOR, R&F MALL, JOHOR BAHRU",80300,Johor,Johor Bahru,072767947,1.459676,103.768169,false
459,AEON BIG KLANG,"LOT F1.03A-05, GROUND FLOOR, AEON BIG KLANG, JALAN HARMONI 3/KU3, SUNGAI PINANG, 41400 KLANG, ",41400,Selangor,Selangor,0333582017,3.069072,101.430443,false
461,PAPAR SQUARE,"LOT NO. 55, GROUND FLOOR, PAPAR SQUARE, KG. LINGAN, 89600 PAPAR, SABAH, MALAYSIA ",89600,Sabah,Sabah,088910592,5.726708,115.934641,false
462,"SEJATI WALK, SANDAKAN","LOT G-A-25 & G-A-26, GROUND FLOOR, SEJATI WALK, JALAN MERPATI, 90000 SANDAKAN, SARAWAK",90000,Sabah,Sabah,089667932,5.889366,118.048099,false
463,"MEGA EMART RIAM, MIRI","LOT 8883, BLOCK 1 LLD, JALAN MIRI-BINTULU, MEGA E-MART COMMERCIAL CENTRE, 98000 MIRI, SARAWAK, MALAYSIA",98000,Sarawak,Sarawak,085324119,4.343817,113.993047,false
464,AEON BIG FALIM,"LOT G.07, GROUND FLOOR, AEON BIG FALIM, TAMAN MAS JAYA, FALIM, 30200 IPOH, NEGERI PERAK",30200,Perak,Perak,052810947,4.581744,101.059816,false
465,Guardian AEON Big Bukit Minyak,"LOT G.28-30, GROUND FLOOR, AEON BIG BUKIT MINYAK, TAMAN BUKIT MINYAK, 14000 BUKIT MERTAJAM, PENANG",14000,Pulau Pinang,Pulau Pinang,045020842,5.328773,100.446192,false
466,TF Value Mart Balik Pulau,"Lot 1,2,3 Kiosk 1&2, TF Value Mart Balik Pulau, Balik Pulau, 11000 Pulau Pinang",11000 ,Pulau Pinang,Pulau Pinang,048693513,5.370560,100.217328,false
467,Guardian Design Village Penang,"Lot No G141, Design Village Outlet Mall, Jalan Cassia Barat 2, Bandar Cassia, 14110 Pulau Pinang",14110,Pulau Pinang,Pulau Pinang,04 - 5880 461,5.244250,100.437040,false
468,Guardian Jalan Pesta Muar,"Lot No 3, Ground Floor, Jalan Pesta 1-1, Taman Tun Dr Ismail, 84000 Muar, Johor",84000,Johor,Johor,06 - 959 3247,2.048696,102.586934,false
470,GUARDIAN PASARAYA METRO KAJANG,"Lot G-06 – G9, No. 1, Jalan Kajang Mewah 7A, Taman Kajang Mewah, 43000 Kajang, Selangor",43000,Selangor,Selangor,,2.976075,101.779444,false
471,GUARDIAN JAYA ONE,"P2.019 , P2.021 & P2.023,72A, Jalan Universiti, Seksyen 13, 46200 Petaling Jaya, Selangor",46200,Selangor,Selangor,,3.118689,101.635265,true
473,Guardian TF Sunway City Ipoh,"Guardian TF Value Mart Sunway City Ipoh, No 2, Jalan SCI 2/2, Bandar Sunway Ipoh, 31400 Ipoh Perak",-,Perak,Perak,,4.622603,101.150724,true
475,Guardian KL East Mall,"Lot G2-29, Ground Floor, KL East Mall, 53100 Kuala Lumpur",53100,Wil. Persekutuan,Kuala Lumpur,,3.224753,101.730340,false
477,Guardian (SIS) Giant Hypermarket Kota Damansara,"No 16, Jalan PJU 5/1, Kota Damansara, PJU 5, 47810 Petaling Jaya, Selangor ",47810,Selangor,Selangor,0129270282,3.156274,101.596169,true
479,"GUARDIAN KTCC MALL, KUALA TERENGGANU","Lot No G-21 & G-22, Ground Floor, KTCC Mall, 20000 Kuala Terengganu",20000,Terengganu,Terengganu,096227311,5.333310,103.149596,true
482,GUARDIAN KIPMALL DESA COALFIELD,"Lot LG 18, LG 19 & LG 20, KIP Mall Desa Coalfield, Desa Coalfields, 47000 Selangor",47000,Selangor,Selangor,,3.238651491360113,101.48840148107914,false
483,Guardian (SIS) TMC Bangsar,"TMC BANGSAR (TMCB) 23-27 LORONG ARA KIRI SATU, LUCKY GARDEN, BANGSAR, 59100 KUALA LUMPUR",59100,Wil. Persekutuan,Kuala Lumpur,,3.12948955291882,101.66953023068288,false
485,Guardian AEON Mall Seri Manjung,"Lot G72 & G73, Ground Floor,,AEON Mall Seri Manjung",32040,Perak,Perak,05-687 0302,4.21974429175509,100.67114372538800,false
488,(SIS) GUARDIAN GIANT BANDAR BARU AMPANG,"GIANT HYPERMARKET BANDAR BARU AMPANG,SPECTRUM SHOPPING MALL,JALAN WAWASAN 4/2, BDR BARU AMPANG",68000,Selangor,Selangor,,3.146028849051956,101.76507630033068,false
521,(SIS) GUARDIAN GIANT SENAWANG,"GIANT HYPERMARKET SENAWANG,LOT 1571, JALAN SENAWANG,TAMAN KOMERSIAL SENAWANG",70400,Negeri Sembilan,Negeri Sembilan,0122606486,2.7021504338944675,101.984763612056,false
530,(SIS) GUARDIAN GIANT SMKT AMCORP MALL,"GIANT SUPERMARKET AMCORP MALL,LG22, LGF BLOK E, AMCORP MALL,18 PERSIARAN BARAT OFF JALAN TIMUR",46050,Selangor,Selangor,,3.1042135050997675,101.64714049391418,false
566,(SIS) GUARDIAN SMKT KELANA JAYA,"GIANT SUPERMARKET KELANA JAYA,NO.2-8, SS 6/3,PUSAT BANDAR KELANA JAYA",47301,Selangor,Selangor,,3.1051450645930525,101.60023195121634,false
569,Gdn Econsave Kubang Kerian,"KK 27, 1st Flr, Econsave Kubang Kerian,Lot PT 1640 & PT 1685, Sek. 54,Jln. Raja Perempuan Zainab II",16150,Kelantan,Kelantan,,6.100339789621253,102.27924647056882,false
572,Guardian Amanjaya Mall,"Lot A7,GF,No 1 Jln Jati 1,,Sungai Petani, Kedah",8000,Kedah,Kedah,044445961,5.674331488501615,100.5095329294384,false
575,Guardian Bahau Negeri Sembilan,"Lot No.126A & Lot No.126B,,Ground Floor, Jalan Mewah,",72100,Negeri Sembilan,Negeri Sembilan,064539162,2.783270849409481,102.35806033300209,false
578,Guardian Bandar Sri Sendayan,"No. 25, Persiaran Metro Sendayan 1,Sendayan Metro Park",71950,Negeri Sembilan,Negeri Sembilan,,2.6869550031426503,101.8474432847236,false
581,Guardian Bandar Yong Peng,"Lot.15, GF,,Jalan Bayan,Tmn Sembrong Barat,,Tmn Sembrong,",83700,Johor,Johor,074673322,2.0106316008151968,103.06596740546146,false
584,Guardian Bataras Kelombong Sabah,"NO CL015484974 CL015484983,5 1/2 MILE JALAN TUARAN KOLOMBONG",88400,Sabah,Sabah,088434671,5.990554204736204,116.12453540042375,false
587,Guardian Bataras Keningau Sabah,"LOT NO.G8&G9,GIANT SUPERSTORE,BANDAR BARU KENINGAU,JALAN APIN APIN",89000,Sabah,Sabah,087337995,5.357684674203973,116.17460609989944,false
590,Guardian Bataras Papar Sabah,"NO.CL 025019970,,1/2 KM JALAN PENGALAT,",89608,Sabah,Sabah,088915314,5.737304027158621,115.93847803806717,false
596,Guardian Beaufort Sabah,"Lot 99, Beaufort Commercial Centre,,Beaufort",89800,Sabah,Sabah,087211360,5.737908387571694,115.93849216628928,false
599,Guardian Boulevard Bintulu,"Lot No. G-23 & G-24, GF,,Boulevard Shopping Mall,,Jln Tanjung Batu",97000,Sarawak,Sarawak,086345744,3.200958955413893,113.0479582327587,false
602,Guardian C180 Cheras Selatan,"Unit A-10-G,GF,,Jalan C180/2,Batu 11,,Cheras, Selangor",43200,Selangor,Selangor,0390818514,3.0364231748163206,101.76612090014935,false
605,Guardian Centre Point KK,"Lot B41, B42, B43 & B44,,2nd Floor, Centre Point Sabah,,Lorong Centre Point",88000,Sabah,Sabah,088214761,5.97346921807808,116.06835320929916,false
608,Guardian Citta Mall,"Lot No.G-26, Ground Floor,Citta Mall,Ara Damansara",47301,Selangor,Selangor,,3.1119225828448878,101.5793954107563,false
611,Guardian EcoMall Petra Jaya,"Lot M-0-77(S014),Lot No.F28,F29,F30&F31,,First Floor ECO Mall Petrajaya,,Taman Melati 2,",93050,Sarawak,Sarawak	,082312140,1.5822354906044027,110.33111684171227,false
614,Guardian Eko Cheras,"Lot No.S-52,2nd Floor,,Eko Cheras Mall,Jalan Cheras,,Taman Mutiara Barat",56000,Wil. Persekutuan,Wil. Persekutuan,0391339754,3.0931920189783733,101.73894583652941,false
620,Guardian Garden Home,"No. 916, Jalan S2 F23,Garden Homes,Seremban 2",70300,Negeri Sembilan,Negeri Sembilan,,2.682959369563914,101.9036927424311,false
623,GUARDIAN GIANT HYPERMARKET NUSA BESTARI,"LOT F22 1ST FLOOR,GIANT HYPERMARKET NUSA BESTARI,NO1 JLN BESTARI 7/2 TMN NUSA BESTAR",81300,Johor,Johor,072357688,1.483614562954414,103.66543120861569,false
626,Guardian Gurney Mall UTM,"Lot 1-33, Level 1,,Jalan Maktab,,Kg Datuk Keramat,",54000,Wil. Persekutuan,Wil. Persekutuan,0322027638,3.1719302915723904,101.72210447463603,false
629,Guardian Gurney Plaza,"Lot No.170-B1-05, Basement 1,Gurney Plaza,Gurney Drive, Pulau Tikus",10250,Pulau Pinang	,Pulau Pinang	,042189160,5.4363050493840985,100.31107003896187,true
632,Guardian Hulu Langat Kajang Selangor,"11, Jalan Seri Mas 1,Taman Seri Mas,Hulu Langat",43100,Selangor,Selangor,0390211048,3.1107264370344745,101.79717100849389,false
635,Guardian ICOM Square Kuching,"Lot A113, GF,,Block A1, ICOM Square,,Jalan Pending, Kuching",93450,Sarawak,Sarawak,082552972,1.5517244216342243,110.37225630002021,false
638,Guardian Jalan Beserah,"A-6606, Ground Floor,,Taman Metro,  Jalan Beserah",25250,Pahang,Pahang,095605426,,,false
641,Guardian Komtar JBCC Johor Bahru,"Lot No. 106-107,,1st Floor, Komtar JBCC,",80000,Johor,Johor,072200946,1.46356974321925,103.76349148945162,false
644,Guardian Lotuss Ara Damansara,"LOT F17 & F18, 1ST FLOOR,,TESCO ARA DAMANSARA,1 JLN PJU 1A/3A,ARA DAMANSARA, PJU 1A",47301,Selangor,Selangor,0378598853,3.1198335656034866,101.57589406078772,false
647,Guardian Lotuss Melaka,"LOT NO L4, TESCO MELAKA,,NO 1, JALAN TUN ABDUL RAZAK,,PERINGGIT",75400,Melaka,Melaka,062882589,2.218101267296675,102.24741392894195,true
650,Guardian Lotuss Parit Raja,"L11 & 12, Tesco Parit Raja,HSD 70098, PTD No 23625 Mukim Sri Gading,Batu Pahat",86400,Johor,Johor,074570534,1.8498987907970292,103.07661485728376,false
653,Guardian Lotuss Putra Nilai,"Tesco Putra Nilai,,No. 1, Jalan BBN 1/3,,Putra Nilai",71800,Negeri Sembilan,Negeri Sembilan,067953135,2.815674670438079,101.79048169101729,false
656,Guardian Lotuss Setia Alam,"Lot No F6, Tesco Setia Alam,Jalan Setia Prima U13/3,Setia Alam",40170,Selangor,Selangor,0333410320,3.107494963926163,101.44469027167388,false
659,Guardian Mid Valley Southkey JB,"Lot LG-022&023,Lower GF,,The Mall,Mid Valley SouthKey,,Persiaran Southkey 1, Southkey",80150,Johor,Johor,073360581,1.500725847231384,103.7778797062741,true
662,Guardian Miri Times Square,"Unit D-G-10, Block D,,Miri Times Square Marina Parkcity,,Jalan Bendahara",98000,Sarawak,Sarawak,085325064,4.39316636747107,113.98567193046861,false
665,Guardian Padang Matsirat,"The Smith House,,Lot 9&10,Bandar Padang Matsirat,,Pulau Langkawi",7000,Kedah,Kedah,049553102,6.35044267727022,99.73080000087991,false
668,Guardian Palm Mall,"Level 4, Lot UG-22,,Upper GF,Palm Mall,,Jalan Sungai Ujong,",70200,Negeri Sembilan,Negeri Sembilan,067612079,2.7199454492088773,101.92292080922124,false
671,Guardian Parit Buntar,"No. 5 Persiaran Shahbandar,,Pusat Bandar Baru,,Parit Buntar",34200,Perak,Perak,057160677,5.119225197489041,100.48668638487732,false
674,Guardian Penang Sentral,"2-03, Level 2,,Penang Sentral",12000,Pulau Pinang,Pulau Pinang,043134674,5.394898018651761,100.36559895840949,false
677,Guardian Pengkalan Chepa,"Lot No. 15&16, GF,,Pantai Timur Hypermarket,Taman Bendahara,Pengkalan Chepa",16100,Kelantan,Kelantan,097733232,6.164358879006761,102.28096006554995,false
680,Guardian Sentosa Parade Kuching,"Lot No.1659 (SL 5), GF,,Sentosa Parade, BLK 46,Kcld,,7th Mile, Jln Penrissen",93250,Sarawak,Sarawak,082622782,1.470741554777335,110.32950923930458,false
683,Guardian Setapak Central Kuala Lumpur,"Lot G48,GF,Setapak Central,,67,Jln Taman Ibu Kota,,Taman Danau Kota",53300,Wil. Persekutuan,Wil. Persekutuan,0341315376,3.2038675765743703,101.7210682713342,false
686,Guardian Setia City Mall,"LG102/02, Lower Ground Floor,No.2, Jalan Setia Dagang AH U13/AH,Setia Alam, Seksyen U13",40170,Selangor,Selangor,0330829147,3.1107120316337227,101.45817047256618,false
689,Guardian Solaria Square Penang,"Lot No. 2-G-2 & 2-G-3,,Ground Floor, Medan Rajawali,,Solaria Square",11900,Pulau Pinang,Pulau Pinang,046116517,5.300226220645159,100.2662118985242,false
692,Guardian Subang Parade Subang Jaya,"Lot LG12, Lower Ground Floor,,Subang Parade, Jalan Kemajuan Subang, SS",47500,Selangor,Selangor,0356210695,3.0819684047475264,101.58483140963816,false
695,Guardian Summit USJ,"Persiaran Kewajipan USJ 1,,Lot G0.7,G0.8 & G0.9, GF,GF, The Summit Subang USJ,",47600,Selangor,Selangor,0380114438,3.0607890698807716,101.59333556193036,false
698,Guardian Sunway Big Box Village,"Lot UG-L-4,Upper GF,,Sunway Big Box,,Nusajaya",81550,Johor,Johor,,3.0728964846335702,101.61046847044645,false
701,Guardian Sunway Geo,"Lot F-01-11,Level 1,,Sunway Geo Avenue,,Jalan Lagoon Selatan, Bdr Sunway",47500,Selangor,Selangor,0356126951,3.065027523989645,101.60853089122877,false
704,Guardian Taman Chemor Ipoh,"Lot No.3, Ground Floor,,Jalan Silang 3,,Taman Chemor",31200,Perak,Perak,052011330,4.719194465235741,101.12024555820011,false
707,Guardian TF Taiping,"A14 & A15, TF Value Mart Taiping,Jln Perusahaan 3, Kawasan Perindustrian,Kamunting 3 Kamunting Raya",34600,Perak,Perak,058083449,4.863730321999276,100.70842645516345,false
710,Guardian TF Value Mart Sungai Petani,"NO A21 GIANT HYPERMARKET SUNGAI PET,PT20157,PT20209,PT50563-PT50584,PT50597 & PT50598,MUKIM SG PETANI",80000,Kedah,Kedah,044315505,5.616167797382536,100.4718538292615,false
713,Guardian Toppen Shopping Ctr,"Lot No. G.03, GF,,Toppen Shopping Centre,Tebrau",81100,Johor,Johor,073587405,1.5525601714279977,103.79834531340936,false
716,Guardian Trilium Lake Sg Besi,"Lot No. 5 & Lot No 7, Ground Floor,Jalan Tasik Utama 8, Taman Tasik Damai,Sungaii Besi",57000,Wil. Persekutuan,Wil. Persekutuan,0390542096,3.061314462068061,101.70907205180617,false
719,Guardian Tropicana Gardens,"Lot CC78,79,80,81&82A,,Concourse Level, Tropicana Gardens,,Kota Damansara",47810,Selangor,Selangor,0376257716,3.1490169244364004,101.59473458497558,true
